date,amount,description,category,payment_mode
2023-08-12,14229.41,ATM CASH WITHDRAWAL ICICI ATM 566381,Cash Withdrawal,ATM
2023-06-25,2616.18,Txn: TESCO STORES 158173,Groceries,Debit Card
2024-01-18,14550.26,Txn: KFC BENGALURU TXN 222440,Food & Dining,Debit Card
2025-02-18,3690.54,ZOMATO HYDERABAD TXN 690014,Food & Dining,UPI
2023-08-21,2479.2,SWIGGY MADRID TXN 818828,Food & Dining,UPI
2025-09-29,13098.71,RYANAIR 390885 *ONLINE,Travel,Credit Card
2024-10-27,6534.04,NETFLIX.COM/BILL 22088,Entertainment,Credit Card
2024-03-28,5466.57,Alert: NEFT TO MAKEMYTRIP 701002,Transfer,NEFT
2024-09-29,8501.51,AMZN MKTP US 475176,Shopping,Credit Card
2025-10-07,14005.49,SUBWAY DELHI POS 659151,Food & Dining,Card Present
2024-10-04,13104.46,SUBSCRIPTION AMAZON PRIME 938810,Entertainment,Card
2025-05-18,14373.71,MCDONALDS CHICAGO POS 940852,Food & Dining,Debit Card
2023-01-15,9004.7,Alert: PAYPAL *TATACLIQ 187400,Shopping,Wallet
2024-11-20,3680.17,ATM CASH WITHDRAWAL HDFC ATM ATM 51987,Cash Withdrawal,ATM
2023-10-05,5148.37,Txn: PAYTM-TO-HDFC 796573,Shopping,UPI
2023-12-18,4485.68,NEFT TO SPOTIFY 902810 *CARD,Transfer,Card Present
2023-12-27,9084.22,APPLE.COM/BILL 969097 *POS,Entertainment,Card Present
2023-01-08,3348.13,ALDI 564531,Groceries,Debit Card
2023-01-12,9011.73,APOLLO PHARMACY 263060,Healthcare,Card
2024-11-16,5171.83,NETFLIX.COM/BILL 549640 *CARD,Entertainment,Card Present
2023-03-17,6547.63,SWIGGY DELHI TXN 496706,Food & Dining,UPI
2024-07-01,10716.92,WALMART.COM 170778,Shopping,Credit Card
2025-09-24,3058.9,PAYMENT TO CREDIT CARD HDFC ATM 749490,Bills & Utilities,Card Present
2025-01-04,7018.86,AUTOPEY AIRTEL 732287,Bills & Utilities,AutoDebit
2023-04-11,6084.33,AMAZON PAY *JIO 257061,Shopping,Wallet
2025-04-19,1335.58,LIDL 763512,Groceries,Debit Card
2024-04-06,7142.47,Alert: STRIPE*SBI 78022,Shopping,Card
2025-08-10,4433.6,INDIAN OIL AHMEDABAD TXN 136957,Fuel,Debit Card
2025-01-19,1877.39,SPOTIFY *SUBSCRIPTION 244454,Entertainment,Card
2024-05-11,8806.59,HP PETROL PUMP CHENNAI TXN 153941,Fuel,Debit Card
2025-02-23,12079.55,APOLLO PHARMACY 744643,Healthcare,Card
2023-05-18,11604.22,TARGET STORE795 232675 *POS,Shopping,Credit Card
2024-05-31,10611.87,STARBUCKS BENGALURU POS 201878,Food & Dining,Debit Card
2024-05-05,14991.68,SBI/IMPS TO DELTA AIRLINES 398796,Transfer,IMPS
2024-07-20,2080.06,ZOMATO AHMEDABAD TXN 942389,Food & Dining,UPI
2024-05-30,11012.28,Alert: BOOTSCHEMIST 779795,Healthcare,Card
2025-05-04,607.37,DMART 807810,Groceries,Debit Card
2024-01-21,13269.69,ACH DEBIT NETFLIX 106492,Bills & Utilities,ACH
2024-11-12,7384.46,DMART 977559,Groceries,Debit Card
2024-05-07,81.03,HP PETROL PUMP NY TXN 226037 *ONLINE,Fuel,Debit Card
2024-04-17,4606.28,ACH DEBIT ZARA 378900,Bills & Utilities,ACH
2023-02-07,11245.46,UPI/216230/WALMART,Shopping,UPI
2025-02-12,8313.88,VENMO PAYMENT 460779,Transfer,Digital Wallet
2023-06-09,3549.95,GOOGLE *PLAY 604764,Entertainment,Credit Card
2025-09-23,3255.53,GOOGLE *PLAY 514526,Entertainment,Credit Card
2023-11-20,10167.39,ZOMATO SAN FRANCISCO TXN 952573,Food & Dining,UPI
2025-01-23,10128.81,PAYTM-TO-SWIGGY 724357,Shopping,UPI
2025-10-26,4891.07,SWIGGY BERLIN TXN 458814,Food & Dining,UPI
2023-07-13,998.02,Alert: APPLE.COM/BILL 721875,Entertainment,Credit Card
2024-11-29,10890.23,CVS PHARMACY 607281,Healthcare,Card
2023-02-06,8848.86,ACH DEBIT H&M 62208 *CARD,Bills & Utilities,ACH
2024-08-10,194.31,NEFT TO WALMART 972744,Transfer,NEFT
2024-05-27,6016.63,DMART 411667,Groceries,Debit Card
2024-07-27,6173.76,MCDONALDS CHICAGO POS 711145,Food & Dining,Credit Card
2025-07-23,8294.95,MYNTRA ATLANTA TXN 921820,Shopping,IMPS
2025-07-13,1709.43,SUBSCRIPTION AMAZON PRIME 79187,Entertainment,Card
2023-05-23,14246.05,ALDI 973894,Groceries,Debit Card
2024-10-14,188.21,SUBWAY BERLIN POS 801196,Food & Dining,Card Present
2024-06-11,8366.8,AMAZON PAY *CARREFOUR 282387,Shopping,Wallet
2025-08-15,4804.91,DELTA AIRLINES 234179,Travel,Credit Card
2024-11-08,10418.39,ZOMATO KOLKATA TXN 176327,Food & Dining,UPI
2023-05-14,10282.64,IMPS TRANSFER TO STARBUCKS 986572,Shopping,IMPS
2025-07-17,14043.37,GOOGLE *PLAY 275641,Entertainment,Credit Card
2023-03-11,7341.89,NETFLIX.COM/BILL 889748,Entertainment,Credit Card
2025-07-29,2435.42,HDFC/NEFT TO AIRTEL 26703,Transfer,NEFT
2024-05-13,7259.61,STARBUCKS ATLANTA POS 737912,Food & Dining,Card Present
2025-09-04,12318.2,APPLE.COM/BILL 91918,Entertainment,Credit Card
2024-03-02,7461.57,ATM CASH WITHDRAWAL AXIS ATM 102677,Cash Withdrawal,ATM
2023-03-30,11925.27,CVS PHARMACY 166612,Healthcare,Card
2023-10-06,14817.51,HDFC/NEFT TO ZARA 769839 *CARD,Transfer,Debit Card
2023-02-10,60.53,OLA/UBER RIDE 668001,Travel,UPI
2023-01-11,5539.5,RECHARGE Jio 210445,Bills & Utilities,UPI
2023-11-26,6852.51,PAYPAL *TARGET 645931 *POS,Shopping,UPI
2024-08-12,8865.64,UPI/370991/GOIBIBO,Shopping,UPI
2023-04-10,10906.02,NEFT TO AIRTEL 210528,Transfer,NEFT
2023-01-06,12449.03,RECHARGE Airtel 318818,Bills & Utilities,UPI
2023-07-22,4787.09,SHELL PUNE TXN 95569,Fuel,Debit Card
2024-02-24,11552.55,SPOTIFY *SUBSCRIPTION 642677,Entertainment,Card
2025-03-28,5659.29,NETFLIX.COM/BILL 760980 *ONLINE,Entertainment,Credit Card
2024-07-07,9698.63,LIDL 330476,Groceries,Debit Card
2023-04-20,13793.63,APOLLO PHARMACY 89838,Healthcare,Card
2025-02-11,8283.24,SUBWAY AHMEDABAD POS 478238,Food & Dining,Credit Card
2023-12-24,5911.82,Alert: UBER BENGALURU TXN 511554,Travel,Credit Card
2024-07-18,4210.25,SWIGGY AMSTERDAM TXN 679054,Food & Dining,UPI
2025-03-30,5017.73,ATM CASH WITHDRAWAL HDFC ATM ATM 377544 *POS,Cash Withdrawal,Credit Card
2025-07-02,9135.17,BOOTSCHEMIST 151296,Healthcare,Card
2023-10-27,1374.69,PAYMENT TO MICROSOFT VIA BHIM UPI 66177,Shopping,UPI
2024-02-24,1465.47,Alert: ZOMATO PUNE TXN 663789,Shopping,Debit Card
2025-05-30,3754.52,UPI/316053/APPLE *POS,Shopping,Credit Card
2025-07-02,7613.99,SPOTIFY *SUBSCRIPTION 543318,Entertainment,Card
2024-11-07,2313.83,WALMART.COM 351919 *CARD,Shopping,Debit Card
2024-11-28,12581.73,TARGET STORE764 66304,Shopping,Credit Card
2024-06-23,5494.18,HDFC/NEFT TO SWIGGY 711025,Transfer,NEFT
2024-03-26,1977.38,UPI/80681/AMAZON,Shopping,UPI
2024-09-07,816.98,IRCTC E-TICKET 933797,Travel,Net Banking
2025-07-12,3884.6,TESCO STORES 884285,Groceries,Debit Card
2023-12-08,9915.83,RECHARGE Vodafone 885260,Bills & Utilities,UPI
2024-06-25,12056.75,KFC MADRID TXN 718699,Food & Dining,Debit Card
2023-04-03,9134.99,RYANAIR 517582,Travel,Credit Card
2024-11-29,79.75,PAYMENT TO CREDIT CARD AXIS BANK ATM 619287,Bills & Utilities,Card Present
2024-12-12,3795.36,IRCTC 55939 INDIAN RAIL *POS,Travel,Card Present
2023-11-08,13341.44,DELTA AIRLINES 867479,Travel,Credit Card
2023-04-01,9507.94,APOLLO PHARMACY 257514,Healthcare,Card
2025-03-09,2187.44,ZELLE PAYMENT TO RYANAIR 219392,Transfer,Zelle
2025-10-08,13031.26,NEFT TO MCDONALDS 333401,Transfer,NEFT
2023-03-08,5111.78,HP PETROL PUMP ATLANTA TXN 836030 *POS,Fuel,Debit Card
2024-04-20,51.61,SHELL BENGALURU TXN 747277,Fuel,Debit Card
2023-08-21,11293.59,Alert: NEFT TO KFC 239764,Transfer,NEFT
2023-06-14,12504.89,Txn: PAYMENT TO INDIAN OIL VIA BHIM UPI 874521,Shopping,UPI
2025-05-26,5530.63,IOC MUMBAI TXN 992288,Shopping,Debit Card
2025-01-27,8740.77,VENMO PAYMENT 849242,Transfer,Wallet
2023-03-10,13542.61,PAYPAL *LIDL 171332 *ONLINE,Shopping,UPI
2024-11-28,3583.0,IMPS TRANSFER TO AMAZON 891336 *ONLINE,Shopping,IMPS
2024-04-11,12752.91,VENMO PAYMENT 250698,Transfer,Wallet
2023-04-28,14256.46,PAYTM-TO-OLA 466358,Shopping,UPI
2023-02-24,11644.56,LIDL 402194 *CARD,Groceries,Credit Card
2023-11-17,4136.04,PAYMENT TO CREDIT CARD ICICI 467950,Bills & Utilities,Card Present
2024-12-21,5673.69,CARREFOUR 75442,Groceries,Debit Card
2023-08-15,13517.04,APPLE.COM/BILL 561065,Entertainment,Credit Card
2025-07-23,9205.22,GOOGLE *PLAY 762492,Entertainment,Credit Card
2024-03-09,4114.35,INSURANCE PREMIUM CARREFOUR 927348,Bills & Utilities,Net Banking
2025-04-29,10280.48,SBI/IMPS TO MICROSOFT 689505 *POS,Transfer,Credit Card
2023-10-30,354.27,MOBILE TOPUP Airtel 816211,Bills & Utilities,Wallet
2024-12-21,6129.06,RYANAIR 268046,Travel,Credit Card
2023-07-18,5817.16,MYNTRA ATLANTA TXN 686383 *ONLINE,Shopping,IMPS
2025-09-19,8508.54,EASYJET 145630,Travel,Credit Card
2024-01-25,5291.29,UBER AHMEDABAD TXN 823423,Travel,Credit Card
2024-01-01,10226.73,PAYMENT TO ZALANDO VIA BHIM UPI 374527,Shopping,UPI
2025-11-01,617.95,INSURANCE PREMIUM WALMART 224386 *ONLINE,Bills & Utilities,Net Banking
2025-06-28,3788.48,PAYMENT TO SWIGGY VIA BHIM UPI 818355,Shopping,UPI
2024-01-02,3753.38,STRIPE*HDFC 130619,Shopping,Card
2024-06-27,11366.16,Debited PAYMENT TO GOIBIBO VIA BHIM UPI 286339,Shopping,UPI
2025-02-10,7180.78,RECHARGE Vodafone 598132,Bills & Utilities,UPI
2024-05-06,2570.43,Credited UBER CHENNAI TXN 322419,Travel,Credit Card
2025-10-09,7223.19,MYNTRA LONDON TXN 627411,Shopping,IMPS
2024-06-26,3351.26,AMAZON PAY *IKEA 977929,Shopping,Wallet
2023-05-15,7246.88,FLIPKART MIAMI TXN 12709,Shopping,Debit Card
2023-03-03,1214.19,TARGET STORE910 279579,Shopping,Credit Card
2025-02-17,7108.98,PAYTM-TO-RYANAIR 652417,Shopping,Digital Wallet
2025-07-31,9216.99,ACH DEBIT HOME DEPOT 262067,Bills & Utilities,ACH
2025-02-19,6072.5,AUTOPAY AMZN PRIME 264297,Entertainment,AutoDebit
2024-12-02,14613.9,UPI/402096/COSTCO *CARD,Shopping,Debit Card
2025-03-23,667.4,Debited SHELL PUNE TXN 96629,Fuel,Debit Card
2024-10-31,14840.49,UPI/525836/TARGET,Shopping,UPI
2024-10-16,5932.74,TARGET STORE517 710244,Shopping,Credit Card
2025-09-26,7054.19,STRIPE*DELTA AIRLINES 835714,Shopping,Card
2024-06-20,8429.47,KFC NY TXN 533285,Food & Dining,Debit Card
2025-06-20,3504.74,IRCTC 557300 INDIAN RAIL,Travel,Net Banking
2025-11-05,320.53,IMPS TRANSFER TO UBER 467861,Shopping,IMPS
2024-06-02,14371.88,EASYJET 481233,Travel,Credit Card
2023-12-25,14220.34,RECHARGE Jio 868784 *ONLINE,Bills & Utilities,UPI
2023-02-04,7960.45,DMART 435873 *POS,Groceries,Debit Card
2023-02-03,12715.46,TARGET STORE802 621284,Shopping,Credit Card
2025-06-11,14100.08,IRCTC E-TICKET 648112,Travel,Net Banking
2024-09-14,7948.58,TARGET MIAMI TXN 97128,Shopping,Debit Card
2025-11-05,6783.44,ALDI 688712,Groceries,Debit Card
2025-03-23,5221.77,WALMART.COM 746963,Shopping,Credit Card
2025-05-16,10911.25,AMZN MKTP US 885522,Shopping,Credit Card
2024-10-06,9385.86,Txn: AIRTEL BILLPAY 880801,Bills & Utilities,Net Banking
2024-02-19,12385.97,RYANAIR 522052,Travel,Credit Card
2024-06-17,10279.64,Alert: JIO RECHARGE 128475,Bills & Utilities,Net Banking
2025-02-10,3795.51,Debited APPLE.COM/BILL 573513,Entertainment,Credit Card
2025-02-05,4938.7,SPOTIFY *SUBSCRIPTION 334031,Entertainment,Card
2023-03-09,12292.91,GAS BILL 425461,Bills & Utilities,Net Banking
2023-03-31,7784.67,Alert: APPLE.COM/BILL 203412,Entertainment,Credit Card
2025-07-30,12692.86,LIDL 454735,Groceries,Debit Card
2025-07-12,10474.64,Alert: AUTOPAY AMZN PRIME 44670,Entertainment,AutoDebit
2024-01-31,7553.18,Debited PAYMENT TO CREDIT CARD AXIS BANK ATM 740138,Bills & Utilities,Credit Card
2025-09-22,11717.31,PAYMENT TO CREDIT CARD AXIS 241279,Bills & Utilities,Debit Card
2024-06-20,9560.33,PAYPAL *WALMART 879634 *ONLINE,Shopping,Wallet
2023-07-06,9250.85,ZOMATO DELHI TXN 984230,Food & Dining,UPI
2024-01-07,9073.29,APPLE.COM/BILL 300302,Entertainment,Credit Card
2023-01-03,10667.39,STRIPE*RYANAIR 848379,Shopping,Card
2025-02-15,9744.58,CVS PHARMACY 632385,Healthcare,Card
2024-03-31,12457.28,Debited HDFC/NEFT TO BIG BAZAAR 116857,Transfer,NEFT
2025-03-23,5217.14,GOOGLE *PLAY 778049,Entertainment,Credit Card
2024-09-09,1102.71,KFC DELHI TXN 941835,Food & Dining,Debit Card
2024-05-13,14723.54,HDFC/NEFT TO DELTA AIRLINES 564889,Transfer,NEFT
2024-06-28,883.92,AMZN.COM/BILL 871957,Shopping,Credit Card
2023-08-31,3552.18,AMZN MKTP EUROPE 284258,Shopping,Credit Card
2025-05-22,7498.87,VENMO PAYMENT 741590 *CARD,Transfer,Wallet
2024-05-18,2485.34,EASYJET 32366,Travel,Credit Card
2024-12-14,7084.14,CARREFOUR 413521 *CARD,Groceries,Debit Card
2023-08-12,2050.32,SBI/IMPS TO EASYJET 254959,Transfer,IMPS
2023-07-12,10655.46,PAYPAL *ZARA 599490 *POS,Shopping,Wallet
2024-07-23,8824.09,Txn: HDFC/NEFT TO PAYTM 430991,Transfer,Digital Wallet
2025-10-25,11781.1,Alert: STRIPE*DMART 62326,Shopping,Card
2025-02-19,11248.54,AMZN MKTP INDIA 86751,Shopping,Credit Card
2024-01-06,1092.65,MAKEMYTRIP 542304,Travel,Credit Card
2025-07-26,6960.12,STRIPE*PAYTM 936489,Shopping,Wallet
2023-05-04,8122.04,OLA/UBER RIDE 454278,Travel,UPI
2023-07-16,5768.87,IRCTC 737077 INDIAN RAIL,Travel,Net Banking
2025-03-12,7605.21,STRIPE*H&M 509028,Shopping,Card
2025-08-02,5278.1,CVS PHARMACY 41734,Healthcare,Card
2023-07-30,9066.62,UPI/761601/DELTA AIRLINES,Shopping,UPI
2024-06-16,5225.22,FLIPKART AHMEDABAD TXN 103163,Shopping,Debit Card
2023-04-03,431.92,OLA/UBER RIDE 813702,Travel,UPI
2023-07-04,7465.58,SUBWAY PUNE POS 532469,Food & Dining,Credit Card
2023-06-15,690.05,INSURANCE PREMIUM MYNTRA 442827,Bills & Utilities,Net Banking
2024-04-02,13895.81,STARBUCKS ATLANTA POS 99131,Food & Dining,Card Present
2025-05-28,1325.07,SWIGGY PUNE TXN 776439,Food & Dining,UPI
2025-08-16,2363.45,AUTOPAY AMZN PRIME 952003 *ONLINE,Entertainment,AutoDebit
2024-09-10,13642.01,IMPS TRANSFER TO RAZORPAY 458580,Shopping,IMPS
2023-01-26,9994.32,RECHARGE Airtel 197402 *ONLINE,Bills & Utilities,UPI
2023-05-01,13608.81,GAS BILL 873232,Bills & Utilities,Net Banking
2025-09-13,7076.49,EASYJET 237114,Travel,Credit Card
2025-10-23,9432.27,RYANAIR 837630,Travel,Credit Card
2023-07-30,7913.66,HP PETROL PUMP LOS ANGELES TXN 414321,Fuel,Debit Card
2023-06-24,9514.75,OLA/UBER RIDE 105620,Travel,UPI
2024-07-27,748.56,PAYMENT TO SPOTIFY VIA BHIM UPI 564926 *ONLINE,Shopping,UPI
2024-04-11,11644.67,RYANAIR 288428,Travel,Credit Card
2023-10-24,14154.42,FLIPKART CHENNAI TXN 836494,Shopping,Debit Card
2025-08-17,10602.3,AMZN.COM/BILL 173315,Shopping,Credit Card
2023-01-14,11920.73,PAYPAL *FLIPKART 102679,Shopping,Wallet
2023-10-13,6428.22,RECHARGE Jio 912874,Bills & Utilities,UPI
2025-04-10,5454.17,Debited MCDONALDS DELHI POS 43956,Food & Dining,Card Present
2024-05-14,6775.02,STRIPE*STARBUCKS 168802,Shopping,Card
2024-08-13,8672.53,GAS BILL 660120,Bills & Utilities,Net Banking
2023-05-18,5025.29,CVS PHARMACY 930119,Healthcare,Card
2024-05-28,14813.03,Credited RYANAIR 836952,Travel,Credit Card
2025-05-10,12541.27,MOBILE TOPUP Jio 444445,Bills & Utilities,Wallet
2024-04-06,7108.05,TARGET STORE153 404747,Shopping,Credit Card
2025-05-22,500.39,CARREFOUR 946833,Groceries,Debit Card
2023-12-13,4754.04,INSURANCE PREMIUM APPLE 358824,Bills & Utilities,Net Banking
2023-07-01,1201.07,Credited MYNTRA MUMBAI TXN 806007,Shopping,IMPS
2024-09-21,6519.87,HP PETROL PUMP MUMBAI TXN 902827,Fuel,Debit Card
2023-06-16,11439.35,EASYJET 592788,Travel,Credit Card
2023-02-15,1536.41,MOBILE TOPUP Jio 386288 *ONLINE,Bills & Utilities,Wallet
2024-10-08,2025.73,Txn: ACH DEBIT JIO 505962,Bills & Utilities,ACH
2023-10-06,12398.04,HDFC/NEFT TO APPLE 395026,Transfer,NEFT
2024-10-08,8478.49,GAS BILL 982858 *POS,Bills & Utilities,Credit Card
2025-08-01,2493.85,PAYMENT TO CREDIT CARD HDFC ATM 145581,Bills & Utilities,Credit Card
2025-10-01,13210.73,IMPS TRANSFER TO KFC 453234,Shopping,IMPS
2025-09-04,13177.21,BOOTSCHEMIST 436673,Healthcare,Card
2024-02-20,7462.95,PAYMENT TO TARGET VIA BHIM UPI 717100 *POS,Shopping,Credit Card
2024-09-08,9384.25,APOLLO PHARMACY 635874,Healthcare,Card
2023-10-06,9692.04,AUTOPAY AMZN PRIME 790863,Entertainment,AutoDebit
2024-06-06,5102.96,SUBSCRIPTION AMAZON PRIME 612336,Entertainment,Card
2024-02-21,5514.68,HP PETROL PUMP KOLKATA TXN 935357,Fuel,Debit Card
2023-06-18,8819.82,JIO RECHARGE 368949,Bills & Utilities,Net Banking
2024-07-12,14775.94,CARREFOUR 237989,Groceries,Debit Card
2023-08-03,4349.74,ZOMATO PARIS TXN 248023,Food & Dining,UPI
2025-08-07,4565.68,INDIAN OIL CHENNAI TXN 54284,Fuel,Debit Card
2025-02-11,2736.52,OLA/UBER RIDE 218314,Travel,UPI
2025-02-12,10486.94,TESCO STORES 747627,Groceries,Debit Card
2025-04-30,9761.13,SWIGGY DELHI TXN 637569,Food & Dining,UPI
2024-06-18,8216.35,JIO RECHARGE 738631,Bills & Utilities,Net Banking
2024-04-03,13403.05,UPI/628114/NETFLIX *POS,Shopping,Card Present
2023-08-03,12718.39,AMZN.COM/BILL 474362,Shopping,Credit Card
2025-09-19,8172.32,NEFT TO TATACLIQ 411078,Transfer,NEFT
2023-10-21,6973.01,BOOTSCHEMIST 362700,Healthcare,Card
2025-08-22,10367.39,SBI/IMPS TO OLA 519760,Transfer,IMPS
2023-08-12,7703.44,NEFT TO MICROSOFT 509380,Transfer,NEFT
2024-07-01,3664.69,INDIAN OIL AHMEDABAD TXN 332316,Fuel,Debit Card
2025-09-01,4403.87,SWIGGY NY TXN 453653 *CARD,Food & Dining,Debit Card
2024-06-22,1322.98,STARBUCKS MUMBAI POS 341977,Food & Dining,Card Present
2024-11-28,3817.86,GOOGLE *PLAY 114800,Entertainment,Credit Card
2025-01-15,1562.34,STARBUCKS AHMEDABAD POS 965432,Food & Dining,Credit Card
2023-04-18,4439.36,HP PETROL PUMP AMSTERDAM TXN 869870,Fuel,Debit Card
2025-01-04,1999.19,AMZN.COM/BILL 142649,Shopping,Credit Card
2023-10-29,1823.78,ACH DEBIT HOME DEPOT 501526,Bills & Utilities,ACH
2024-06-08,10332.65,BOOTSCHEMIST 43933 *ONLINE,Healthcare,Card
2024-03-29,658.1,MAKEMYTRIP 441209,Travel,Credit Card
2025-02-11,7929.55,SBI/IMPS TO GOIBIBO 223256,Transfer,IMPS
2024-11-30,7625.6,MCDONALDS DELHI POS 980240,Food & Dining,Credit Card
2024-06-21,4871.43,SBI/IMPS TO UBER 827208,Transfer,IMPS
2025-07-26,11519.0,IMPS TRANSFER TO SBI 907135,Shopping,IMPS
2024-07-10,11753.59,IRCTC 670685 INDIAN RAIL *CARD,Travel,Credit Card
2025-07-15,8283.79,AIRTEL BILLPAY 686187,Bills & Utilities,Net Banking
2025-03-31,13835.98,NEFT TO MYNTRA 347606,Transfer,NEFT
2024-11-07,7998.91,Credited STRIPE*SBI 76176,Shopping,Card
2025-10-02,6099.25,ACH DEBIT INDIAN OIL 235960,Bills & Utilities,ACH
2024-04-05,10564.15,UBER KOLKATA TXN 323619,Travel,Credit Card
2024-03-02,10931.82,SBI/IMPS TO ZALANDO 789040,Transfer,IMPS
2025-10-29,10320.56,SUBWAY AMSTERDAM POS 580517 *POS,Food & Dining,Debit Card
2024-03-16,279.89,MYNTRA KOLKATA TXN 173683,Shopping,IMPS
2023-08-28,7127.91,ATM CASH WITHDRAWAL HDFC ATM ATM 230050,Cash Withdrawal,ATM
2023-09-12,9680.58,FLIPKART HYDERABAD TXN 437249,Shopping,Debit Card
2023-01-05,9700.18,Credited UBER PUNE TXN 638635,Travel,Credit Card
2023-02-04,7005.7,PAYTM-TO-APPLE 608388,Shopping,Wallet
2023-01-18,2695.92,IRCTC 449437 INDIAN RAIL,Travel,Net Banking
2023-02-26,12217.79,TARGET STORE259 407499,Shopping,Credit Card
2025-05-24,2495.7,UPI/553725/AMAZON,Shopping,UPI
2024-01-24,6536.44,AUTOPAY AMZN PRIME 816069,Entertainment,AutoDebit
2023-03-10,6573.42,MYNTRA DELHI TXN 566443,Shopping,IMPS
2025-02-18,3393.05,STARBUCKS NY POS 595181,Food & Dining,Card Present
2025-08-29,711.87,SUBSCRIPTION AMAZON PRIME 74712,Entertainment,Card
2024-03-14,4486.16,JIO RECHARGE 219864,Bills & Utilities,Net Banking
2024-07-03,7902.22,SPOTIFY *SUBSCRIPTION 779446,Entertainment,Card
2024-05-19,12688.59,CVS PHARMACY 903991,Healthcare,Card
2025-07-30,3311.6,RECHARGE Vodafone 137671,Bills & Utilities,UPI
2023-01-01,11237.51,UPI/94626/AMAZON,Shopping,UPI
2025-04-19,10073.61,ATM CASH WITHDRAWAL SBI ATM 121228,Cash Withdrawal,ATM
2024-07-29,13669.26,SUBWAY BENGALURU POS 451062,Food & Dining,Credit Card
2024-05-25,1625.53,Credited SUBSCRIPTION AMAZON PRIME 848017,Entertainment,Card
2024-12-31,11183.89,WALMART.COM 460257,Shopping,Credit Card
2023-06-13,7376.17,LIDL 645388 *CARD,Groceries,Card Present
2024-08-28,10455.6,PAYMENT TO H&M VIA BHIM UPI 702112,Shopping,UPI
2023-02-15,512.54,MYNTRA AMSTERDAM TXN 711440 *CARD,Shopping,Credit Card
2025-06-04,8645.81,OLA/UBER RIDE 846428,Travel,UPI
2025-01-30,14280.41,VENMO PAYMENT 558668,Transfer,UPI
2023-02-28,8899.57,AMZN.COM/BILL 746443,Shopping,Credit Card
2023-01-06,6931.57,Alert: APPLE.COM/BILL 892459,Entertainment,Credit Card
2025-04-30,5973.05,INDIAN OIL HYDERABAD TXN 606813,Fuel,Debit Card
2024-10-26,6665.1,SBI/IMPS TO TATACLIQ 218092,Transfer,IMPS
2023-07-24,3758.4,STARBUCKS DELHI POS 102044,Food & Dining,Credit Card
2025-03-04,6830.31,GAS BILL 161981,Bills & Utilities,Net Banking
2025-07-22,10595.44,APOLLO PHARMACY 814189,Healthcare,Card
2024-12-15,7594.15,JIO RECHARGE 589408,Bills & Utilities,Net Banking
2023-02-08,9843.79,LIDL BERLIN TXN 202006,Shopping,Debit Card
2025-04-30,8477.74,MAKEMYTRIP 665216 *ONLINE,Travel,Credit Card
2024-04-15,7937.74,WALMART.COM 719290,Shopping,Credit Card
2025-10-28,3241.38,AMAZON PAY *RAZORPAY 110330,Shopping,Wallet
2023-02-27,9467.98,Alert: CVS PHARMACY 264125,Healthcare,Card
2023-04-10,11387.21,ALDI 491995,Groceries,Debit Card
2024-09-21,2471.3,GOOGLE *PLAY 207083,Entertainment,Credit Card
2024-04-09,10663.18,OLA/UBER RIDE 160977,Travel,UPI
2023-12-15,4509.92,DMART 960561,Groceries,Debit Card
2023-10-14,7873.59,AIRTEL BILLPAY 529238,Bills & Utilities,Net Banking
2023-02-17,634.45,INSURANCE PREMIUM KFC 736233,Bills & Utilities,Net Banking
2025-01-18,14216.4,ZELLE PAYMENT TO HDFC 751485,Transfer,Zelle
2025-03-15,5930.46,BIG BAZAAR 777405,Groceries,Debit Card
2025-10-27,3767.88,IRCTC 935241 INDIAN RAIL,Travel,Net Banking
2023-07-11,994.8,SUBWAY MIAMI POS 424308,Food & Dining,Credit Card
2024-06-12,11232.74,SUBSCRIPTION AMAZON PRIME 580512,Entertainment,Card
2025-08-27,12187.22,AIRTEL BILLPAY 538740,Bills & Utilities,Net Banking
2024-03-06,10274.35,INDIAN OIL PARIS TXN 345560,Fuel,Debit Card
2023-06-12,9924.14,PAYPAL *AIRTEL 728862,Shopping,UPI
2023-07-18,7210.12,AUTOPEY FLIPKART 873918,Bills & Utilities,AutoDebit
2025-06-25,2513.3,Credited PAYMENT TO CREDIT CARD ICICI 762758,Bills & Utilities,Credit Card
2025-06-22,31.21,FLIPKART NY TXN 135507 *ONLINE,Shopping,Debit Card
2024-07-22,707.2,ALDI 837081,Groceries,Debit Card
2024-12-24,1589.27,INDIAN OIL BERLIN TXN 927754,Fuel,Debit Card
2023-10-28,8535.73,ATM CASH WITHDRAWAL ICICI ATM 617418,Cash Withdrawal,ATM
2024-08-25,14137.77,KFC CHICAGO TXN 950983,Food & Dining,Debit Card
2023-09-22,10565.73,AMZN MKTP US 55954 *ONLINE,Shopping,Credit Card
2024-12-26,3806.68,Alert: RYANAIR 35540,Travel,Credit Card
2025-03-18,3142.42,NETFLIX.COM/BILL 875609,Entertainment,Credit Card
2024-06-21,14170.52,IMPS TRANSFER TO TESCO 878886 *CARD,Shopping,Card Present
2024-08-20,7615.34,STARBUCKS HYDERABAD POS 764124,Food & Dining,Credit Card
2023-03-10,4297.24,APOLLO PHARMACY 470295 *POS,Healthcare,Card Present
2023-04-06,4949.06,FLIPKART AHMEDABAD TXN 355083,Shopping,Debit Card
2023-07-10,3731.38,BOOTSCHEMIST 551593 *ONLINE,Healthcare,Card
